Note: The temperature values on this sheet are 1,000-yr averages. ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Age;Summer Temp;1sigma+;1sigma-;2sigma+;2sigma-;;Age;ORBIT;;Age;MEBM;;Age;GLAC1D;;Age;ICE-6G;
(ka);(C);(C);(C);(C);(C);;(ka);(C);;(ka);(C);;(ka);(C);;(ka);(C);
0,210;-0,67;-0,43;-0,87;-0,19;-1,07;;0,2;-0,50;;0,0;-0,18;;1,0;0,00;;1,0;0,00;
0,211;-0,66;-0,42;-0,86;-0,18;-1,06;;1,0;0,00;;0,5;-0,08;;2,0;0,40;;2,0;0,31;
0,212;-0,67;-0,43;-0,87;-0,19;-1,07;;2,0;0,10;;1,0;0,00;;3,0;0,22;;3,0;0,23;
0,213;-0,67;-0,43;-0,87;-0,19;-1,07;;3,0;0,33;;1,5;0,06;;4,0;0,35;;4,0;0,23;
0,214;-0,67;-0,43;-0,87;-0,19;-1,07;;4,0;0,26;;2,0;0,10;;5,0;-0,01;;5,0;0,02;
0,215;-0,66;-0,42;-0,86;-0,18;-1,06;;5,0;0,05;;2,5;0,12;;6,0;-0,12;;6,0;-0,24;
0,216;-0,66;-0,42;-0,86;-0,18;-1,06;;6,0;0,02;;3,0;0,12;;7,0;-0,66;;7,0;-0,85;
0,217;-0,66;-0,42;-0,87;-0,18;-1,07;;7,0;-0,30;;3,5;0,10;;8,0;-1,00;;8,0;-1,45;
0,218;-0,66;-0,42;-0,86;-0,18;-1,07;;8,0;-0,56;;4,0;0,07;;9,0;-1,57;;9,0;-1,96;
0,219;-0,66;-0,42;-0,86;-0,18;-1,07;;9,0;-0,83;;4,5;0,01;;10,0;-1,95;;10,0;-2,40;
0,220;-0,68;-0,44;-0,88;-0,20;-1,08;;10,0;-0,95;;5,0;-0,06;;11,0;-2,59;;11,0;-3,93;
0,221;-0,67;-0,43;-0,88;-0,19;-1,08;;11,0;-0,89;;5,5;-0,14;;;;;;;
0,222;-0,66;-0,42;-0,87;-0,19;-1,07;;;;;6,0;-0,22;;;;;;;
0,223;-0,67;-0,43;-0,87;-0,19;-1,08;;;;;6,5;-0,32;;;;;;;
0,224;-0,67;-0,43;-0,87;-0,19;-1,08;;;;;7,0;-0,42;;;;;;;
0,225;-0,67;-0,43;-0,87;-0,19;-1,07;;;;;7,5;-0,51;;;;;;;
0,226;-0,67;-0,43;-0,88;-0,19;-1,08;;;;;8,0;-0,61;;;;;;;
