#from supplied Source Data of Extended Data Figure 1  from
#Jones, T.R., Cuffey, K.M., Roberts, W.H.G., Markle, B.R., Steig, E.J., Stevens, C.M., 
#Valdes, P.J., Fudge, T.J., Sigl, M., Hughes, A.G., Morris, V., Vaughn, B.H., Garland, J., Vinther, B.M., Rozmiarek, K.S., 
#Brashear, C.A., White, J.W.C., 2023. Seasonal temperatures in West Antarctica during the #Holocene. Nature 613, 292–297. https://doi.org/10.1038/s41586-022-05411-8
#Extracted from Sheet Panel C 41586_2022_5411_MOESM5_ESM.xlsx; downloaded 03/2024
;Diffusion Length;Diffusion Length;Diffusion Length;;;;
Age;140-yr windows, 70-yr time steps;1sigma+;1sigma-;;;;
(ka);(yr);(yr);(yr);;;;
0,064;0,28;0,30;0,26;;;;
0,134;0,26;0,28;0,24;;;;
0,204;0,29;0,30;0,27;;;;
0,274;0,27;0,29;0,25;;;;
0,344;0,26;0,28;0,24;;;;
0,414;0,22;0,24;0,19;;;;
0,484;0,25;0,27;0,23;;;;
0,554;0,27;0,29;0,25;;;;
0,624;0,26;0,28;0,24;;;;
0,694;0,27;0,28;0,25;;;;
0,764;0,25;0,27;0,23;;;;
0,834;0,25;0,27;0,24;;;;
0,904;0,25;0,27;0,23;;;;
0,974;0,26;0,28;0,24;;;;
1,044;0,26;0,28;0,24;;;;
1,114;0,25;0,27;0,22;;;;
1,184;0,26;0,28;0,23;;;;
1,254;0,25;0,27;0,23;;;;
1,324;0,25;0,27;0,23;;;;
1,394;0,26;0,28;0,23;;;;
1,464;0,25;0,27;0,23;;;;
1,534;0,26;0,28;0,24;;;;
1,604;0,26;0,28;0,24;;;;
1,674;0,24;0,26;0,22;;;;
1,744;0,25;0,27;0,23;;;;
1,814;0,23;0,25;0,21;;;;
1,884;0,24;0,26;0,22;;;;
1,954;0,25;0,27;0,23;;;;
2,024;0,24;0,26;0,23;;;;
2,094;0,24;0,26;0,23;;;;
2,164;0,25;0,27;0,23;;;;
2,234;0,24;0,26;0,22;;;;
2,304;0,23;0,25;0,21;;;;
2,374;0,23;0,25;0,21;;;;
2,444;0,24;0,26;0,22;;;;
2,514;0,23;0,25;0,21;;;;
2,584;0,23;0,25;0,20;;;;
2,654;0,23;0,25;0,20;;;;
2,724;0,25;0,27;0,23;;;;
2,794;0,25;0,27;0,23;;;;
2,864;0,25;0,28;0,22;;;;
2,934;0,25;0,27;0,22;;;;
3,004;0,26;0,28;0,23;;;;
3,074;0,25;0,28;0,23;;;;
3,144;0,26;0,28;0,23;;;;
3,214;0,24;0,27;0,21;;;;
3,284;0,23;0,26;0,21;;;;
3,354;0,24;0,26;0,21;;;;
3,424;0,23;0,25;0,21;;;;
3,494;0,23;0,25;0,21;;;;
3,564;0,23;0,25;0,20;;;;
3,634;0,24;0,26;0,21;;;;
3,704;0,23;0,25;0,20;;;;
3,774;0,21;0,24;0,18;;;;
3,844;0,22;0,24;0,19;;;;
3,914;0,24;0,26;0,22;;;;
3,984;0,23;0,25;0,21;;;;
4,054;0,24;0,26;0,21;;;;
4,124;0,24;0,27;0,22;;;;
4,194;0,23;0,25;0,21;;;;
4,264;0,23;0,25;0,21;;;;
4,334;0,22;0,24;0,20;;;;
4,404;0,24;0,26;0,21;;;;
4,474;0,24;0,26;0,21;;;;
4,544;0,22;0,23;0,20;;;;
4,614;0,21;0,23;0,18;;;;
4,684;0,22;0,23;0,20;;;;
4,754;0,24;0,25;0,22;;;;
4,824;0,23;0,26;0,21;;;;
4,894;0,22;0,24;0,20;;;;
4,964;0,21;0,23;0,19;;;;
5,034;0,20;0,23;0,17;;;;
5,104;0,22;0,24;0,20;;;;
5,174;0,22;0,25;0,20;;;;
5,244;0,21;0,24;0,18;;;;
5,314;0,20;0,23;0,18;;;;
5,384;0,22;0,24;0,19;;;;
5,454;0,23;0,25;0,21;;;;
5,524;0,22;0,25;0,20;;;;
5,594;0,22;0,24;0,20;;;;
5,664;0,22;0,24;0,19;;;;
5,734;0,20;0,22;0,16;;;;
5,804;0,19;0,22;0,16;;;;
5,874;0,21;0,23;0,19;;;;
5,944;0,21;0,23;0,18;;;;
6,014;0,22;0,24;0,20;;;;
6,084;0,24;0,26;0,22;;;;
6,154;0,23;0,25;0,20;;;;
6,224;0,25;0,27;0,23;;;;
6,294;0,25;0,27;0,22;;;;
6,364;0,25;0,27;0,22;;;;
6,434;0,24;0,26;0,22;;;;
6,504;0,25;0,27;0,23;;;;
6,574;0,25;0,27;0,22;;;;
6,644;0,24;0,26;0,21;;;;
6,714;0,25;0,27;0,23;;;;
6,784;0,25;0,27;0,24;;;;
6,854;0,24;0,27;0,22;;;;
6,924;0,24;0,26;0,22;;;;
6,994;0,24;0,26;0,22;;;;
7,064;0,25;0,27;0,22;;;;
7,134;0,25;0,27;0,23;;;;
7,204;0,25;0,27;0,22;;;;
7,274;0,26;0,28;0,24;;;;
7,344;0,27;0,29;0,25;;;;
7,414;0,25;0,27;0,24;;;;
7,484;0,25;0,27;0,24;;;;
7,554;0,24;0,26;0,23;;;;
7,624;0,26;0,28;0,24;;;;
7,694;0,25;0,27;0,23;;;;
7,764;0,25;0,27;0,23;;;;
7,834;0,26;0,28;0,24;;;;
7,904;0,28;0,30;0,26;;;;
7,974;0,27;0,29;0,25;;;;
8,044;0,26;0,28;0,24;;;;
8,114;0,27;0,29;0,24;;;;
8,184;0,28;0,30;0,26;;;;
8,254;0,24;0,27;0,22;;;;
8,324;0,27;0,28;0,25;;;;
8,394;0,27;0,29;0,25;;;;
