Figure data from Kahle et al., 2012, Fig. 11, right panel. 
Kahle, E.C., Holme, C., Jones, T.R., Gkinis, V., Steig, E.J., 2018. A Generalized Approach to Estimating Diffusion Length of Stable Water Isotopes From Ice-Core Data. Journal of Geophysical Research: Earth Surface 123, 2377–2391. https://doi.org/10.1029/2018JF004764
As neither of the authors Kahle, Holme or Gkinis could supply the source data for the figure, it was digitised from the pdf figure. The digitization error, quantified by replication, is negligible compared to the method uncertainty.
"age" "mean.Double" "lower.Double" "upper.Double" "mean.Noise" "lower.Noise" "upper.Noise" "mean.Jones" "lower.Jones" "upper.Jones"
"1" 0.4 0.0534350433044637 0.0632205196535643 0.045616255829447 0.0505089940039974 0.0419853431045969 0.0605063291139241 0.0596868754163891 0.0538107928047968 0.0663224516988674
"2" 0.9 0.0557621464478227 0.0653027728640676 0.0486561582600847 0.054722398401066 0.0472607245442929 0.0639909393737508 0.0601768614862819 0.0539639769565388 0.0670726966336168
"3" 1.4 0.0585799668438096 0.0675304371798112 0.0519349723840021 0.0565151993908823 0.0490992671552299 0.0660665556295803 0.0594963307480548 0.0537763542253882 0.0658265976528468
"4" 1.9 0.0529968643126804 0.0616531180763212 0.0456876256854405 0.0515445471135185 0.0440450033311126 0.0600651350712429 0.0557360631373956 0.0501198134576949 0.0621465156562292
"5" 2.4 0.0516375507237599 0.0593939797710617 0.0451874793148654 0.050528181212525 0.0439213024650233 0.0587586699775907 0.0535325782811459 0.0478586993286527 0.0599620765643417
"6" 2.9 0.0516944970019987 0.0591074394847879 0.0461293304463691 0.0506911303575394 0.0447998514651435 0.0583024523333651 0.0537567005644036 0.0482692871419054 0.0598067954696869
"7" 3.4 0.0482680498715142 0.0555655671412857 0.0423545826591796 0.0462982375386106 0.0400924458962842 0.0537328172752557 0.0491640137344335 0.04464817668724 0.054313108907787
"8" 3.9 0.046749009751075 0.0530004530313125 0.0415246989569143 0.045028257130905 0.0395386075949367 0.0514433044636909 0.0471655022437872 0.0428335223058841 0.0519761492338441
"9" 4.4 0.0417892798740234 0.0478636134050168 0.0403204070849319 0.039668584579977 0.0375112591605596 0.0459613241445594 0.0418503739645268 0.0386070209603854 0.0452218520986009
"10" 4.9 0.0391827773732241 0.0450451638301738 0.0382991974581049 0.0373014641401856 0.0356888014051239 0.0436991339107262 0.0404164454466253 0.0367531030594988 0.0444852320675106
"11" 5.4 0.0387769753497668 0.0447602446853613 0.0381552232937604 0.0372246676128958 0.0355896069287142 0.0433914177433624 0.038713420682508 0.0354903249685395 0.0423425982678215
"12" 5.9 0.0338371132423346 0.0396902065289807 0.0314003559815844 0.0326557342723898 0.0298536538482542 0.0387287808127915 0.0334465997027623 0.0312452672577256 0.0360240780656033
"13" 6.4 0.037082496113702 0.0430014408998652 0.0348956949335364 0.0355575394181657 0.0331993004663558 0.0413518279480347 0.0372666222518321 0.0340226811755126 0.0404074114112604
"14" 6.9 0.0360199806189813 0.041772088173102 0.0337142034342696 0.0345141688486745 0.0317826990339774 0.0402552710891152 0.0353753600163993 0.0329883450248854 0.0379752113975299
"15" 7.4 0.0327111138029193 0.0378897974993415 0.0299855388074617 0.0313492944097874 0.0284184576402617 0.0367125314306591 0.0326247982826264 0.0307923572963936 0.0345570132732025
"16" 7.9 0.0338868289357483 0.0391626673127006 0.0315968537104296 0.0331937108594271 0.0306387536514119 0.0382440178342643 0.0325031978680879 0.0301220468405678 0.0350857530876851
"17" 8.4 0.0322223051299134 0.0375504330446369 0.0293409601932045 0.0311467021985343 0.0279140420047837 0.0366387654132218 0.031783334380853 0.0298826285506632 0.0337451413343485
"18" 8.9 0.0341818787475017 0.03937180061777 0.0314944789495175 0.0325347768154564 0.0297813068210936 0.0381151576368443 0.0322842515246246 0.0307718751601496 0.0337827591129723
"19" 9.4 0.0309014111804252 0.0357091514747744 0.0281478972351765 0.0300492623964976 0.0272697417408002 0.0349104180546302 0.0296748834110593 0.0279363292396264 0.0316423717521652
"20" 9.9 0.0296148700866089 0.033864308642723 0.0264011492338441 0.0285280132085856 0.025101187443665 0.0330175861594915 0.0289747040434582 0.0274059806282991 0.0306692051452878
"21" 10.4 0.0303796042948112 0.0342769874347334 0.0273452837893018 0.0298644713048444 0.026625782811459 0.0343816545583368 0.0296414287910624 0.0282367037359709 0.0310045629957387
"22" 10.9 0.0282418121252498 0.0320317303615771 0.0249985723803179 0.0275302957448657 0.0241304297135243 0.0316099600266489 0.0279023594333338 0.0265032921448594 0.0294161943319838
"23" 11.4 0.0312407976077964 0.0350811701290049 0.0287078633292091 0.0302185209860093 0.0276744104869054 0.0343153960851496 0.0311317583149695 0.0286407652759795 0.0335763416981272
"24" 11.9 0.0343398267821453 0.0394372995780591 0.0319718550206295 0.0343664579169443 0.0321920852764823 0.0401887884267631 0.0311499592864017 0.0295288030202088 0.0327659457797366
"25" 12.4 0.0335939434316516 0.0384313899260958 0.0308848450239523 0.0333136110809848 0.0305535544609605 0.0388507928047968 0.0309922820683647 0.0294740326961513 0.0326265470078771
"26" 12.9 0.029321628005572 0.0333304463690872 0.0262455716701686 0.028883091272485 0.0255401815456362 0.0333613891814059 0.0287734547338811 0.0269856762158561 0.0305981345769487
"27" 13.4 0.0307972589702103 0.0342861365150506 0.0278195748289019 0.0298273272363879 0.0266654015602502 0.0343107684823874 0.0290829088300108 0.027362523097809 0.0308934556449547
"28" 13.9 0.0325861078121832 0.0373807229289001 0.0296432778147902 0.0318461449942463 0.0288833946599703 0.0369867879746835 0.0300889168227471 0.0284455746483476 0.0317753941816567
"29" 14.4 0.0318025812249198 0.0361085579310763 0.0287756162558295 0.0320386285112251 0.0291909612171121 0.0372172710256654 0.0297258033106134 0.0279338902270281 0.0314501527283698
"30" 14.9 0.0313977526093715 0.0358884832334 0.0279935619639817 0.0310613330243606 0.0275712025316456 0.0359207639351544 0.0288695938556685 0.0271849659975111 0.0306272792497309
"31" 15.4 0.0324122956788498 0.0384658591242202 0.0297274483677548 0.0303060905133012 0.0271049480240686 0.0355696646679991 0.0317964843950187 0.0300237527183136 0.033650617827109
"32" 15.9 0.0323781098315409 0.0377522802979832 0.0291940611021224 0.0315801041729756 0.0285093877713365 0.0368406523504878 0.0316418535790954 0.0301865423051299 0.0331597601598934
"33" 16.4 0.0332836080294297 0.0382103651829013 0.0305263665492846 0.0325364547665897 0.0297560071063735 0.0379372363629726 0.0333018807974171 0.0318568640514167 0.0348620919387075
"34" 16.9 0.0327363029298297 0.0371504221675346 0.0298527856429047 0.0327537762703652 0.029925236938815 0.0375734399289363 0.0319935222672065 0.0307455658491823 0.0332375648938443
"35" 17.4 0.0316061050208952 0.0364314867011736 0.0283715856095936 0.0316540730422143 0.028868848460001 0.0371387455981727 0.0320606740160648 0.0307061958694204 0.0337206477732794
"36" 17.9 0.0277469965759261 0.031555694653177 0.0255057940209173 0.0280775297088762 0.0264040279158157 0.0322740718309006 0.0273656455444798 0.0265392661302722 0.0284331904516486
"37" 18.4 0.0254272803638154 0.0288156301596037 0.0231342105263158 0.0256671019320453 0.0237383452698201 0.0296801751213477 0.0243758651465061 0.0232139227936093 0.0255037974683544
"38" 18.9 0.0221366517559722 0.0249230078498392 0.019860690852563 0.0221882280030367 0.0196146865052928 0.02551599480128 0.0217291805463024 0.02118797212115 0.0222335697770114
"39" 19.4 0.0200477362917475 0.022554103325056 0.0174956758986073 0.0207379080612925 0.0179075866089274 0.0242894070619587 0.0187013990672885 0.0179173690267095 0.0195944037308461
"40" 19.9 0.01999661001193 0.0226760038762038 0.0174617213524317 0.020906496444231 0.0184884616604803 0.0241658703721329 0.0198450520166043 0.0182371048231996 0.021524855224722
"41" 20.4 0.0192884210526316 0.0218948421982244 0.0169687552930814 0.0193060046925238 0.0167586359093937 0.0224025473213936 0.0190054378841778 0.0176320504279198 0.0205554519209416
"42" 20.9 0.0189158979285128 0.021244829977294 0.0164656835741347 0.0189068620919387 0.0162047090557514 0.0219141017099711 0.0182395333928324 0.0171733254753241 0.0191709526982012
"43" 21.4 0.0183211370197646 0.0208443606701224 0.0160269153897402 0.0183645801349825 0.015679479321478 0.021291219610207 0.017901043748612 0.0170026975726874 0.0187464599358004
"44" 21.9 0.0173945560102789 0.0197053012277529 0.0149291964087434 0.0176740839440373 0.0146747952646953 0.020744905416591 0.0170425833757887 0.016089289493279 0.0179576752753066
"45" 22.4 0.0177334625401248 0.0196655562958028 0.0156336716698671 0.0173731209496699 0.014670219853431 0.0201105839045156 0.0181634331829095 0.0173976863908909 0.0188944175581059
"46" 22.9 0.0191792078008601 0.0218869515561055 0.0164335408578189 0.0194423414693235 0.0162691538974017 0.0225924300466356 0.0180009719010856 0.0168133244503664 0.0190731352431712
